Time: 0.364 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.368 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.372 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.376 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.380 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.384 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.388 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.392 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.396 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.400 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.404 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.408 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.412 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.416 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.420 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.424 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.428 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.432 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.436 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.440 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.444 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.448 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.452 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.456 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.460 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.464 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.468 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.472 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.476 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.480 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.484 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.488 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.492 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.496 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.500 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.504 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.508 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.512 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.516 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.520 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.524 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.528 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.532 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.536 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.540 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.544 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.548 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.552 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.556 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.560 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.564 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.568 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.572 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.576 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.580 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.584 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.588 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.592 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.596 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.600 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.604 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.608 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.612 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.616 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.620 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.624 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.628 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.632 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.636 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.640 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.644 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.648 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.652 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.656 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.660 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.664 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.668 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.672 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.676 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.680 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.684 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.688 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.692 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.696 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.700 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.704 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.708 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.712 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.716 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.720 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.724 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.728 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.732 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.736 s, ForceX: 0.000 N, ForceZ: 0.000 N
